asset,2024-03-01,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31
desk 80,0,0,80.84,60.84,79.67,81.17,0,0.67,76.34,72.67,45.67,77.5,89.67,0,0,0.33,34.17,0,0,54.34,0,0,0.5,47.67,78,81,0,76.5,0,80.17,81.84,81.84,80.5,83.34,82,84.34,81.84,0,1.67,0,20.67,79,11.33,0,80.67,0,76.17,10.5,78.34,0,0,64.84,63.84,45.34,82.34,81.5,13.5,1.83,79.84,74.67,80.01,0,60.34,58.76,82,0
Desk 18,0,0,78.33,77.67,83.5,0,0,86.5,79.5,47,0,0,69,77.67,0,0,0,46.6,80.84,0,0,0,0,79.5,79.83,0,0,81.17,80.83,56.5,0,0,87.17,76.5,80,0,0,73.5,75.17,77.34,0,0,0,0,78.67,57.33,0,0,86.17,0,0,0,85.5,81.17,0,0,0,75.67,82,77.17,0,0,79.67,80,0,0
desk 85,0,0,0,1,0,0,0,65.67,0.67,0,0,67.84,0,0,0,0,0,0,62.67,0,0,0,0,80.33,0,0,83.01,59.34,77.5,54.67,73.34,29.33,73,85.17,59.5,0,0,32.5,67.5,0,0,9.5,72,0,0,3.17,0.5,0,0.5,0,0,78.51,29.17,68.34,82.07,78.34,81.5,39.83,29.34,57.35,78.84,69.67,69.84,16.13,0.66,0
desk 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
desk 140,0,0,29.17,0,15.17,58.34,71.84,56.17,30.67,56.17,0,0,0,0,0,0,1.67,30.34,0.33,3.33,0,0,0,62.67,27,64,0,4.67,5.67,2.67,15.67,12.26,8.67,38.83,20.17,52.23,0,72,37,51.34,14.84,34.33,36.5,0,37.33,5.33,11.5,0,0,0,0,26.74,0,82,0,0,38.19,47.69,9.17,0,0,0,32.5,68.84,79.83,70
desk 130,0,0,0,0,40,0,0,46.84,79.9,66.5,23.84,88.19,68.85,80.84,80.17,51.17,69.97,79.34,58.17,0,0,0,81.73,54.56,86.51,65.21,88.52,83.17,56,81.83,67.5,82.13,0.67,68.27,75.77,88.09,65.4,78.67,0,80.21,60.17,62.84,0,0,0,0,81.95,81.77,72.93,0,82,81.56,68.67,78.88,65.03,65.36,81.83,75.33,57.5,71.14,77.84,80.11,68.76,83.59,81.91,67.07
desk 157,0,0,80.97,82.3,0,0,0,0,18.83,78.5,40.5,0,0,68.41,85.67,0,63.17,78,79.5,77.17,0,0,0,88.85,52.84,0,0,82.84,80.49,79.34,0,83.14,82.67,64.17,53.63,0,59.34,79.44,53.34,0,0,26.67,71.67,0,0,0,58.06,71.17,54.83,0,29.34,22,25.5,44.67,41.67,87,83.83,82.67,72.34,83,77,91.97,83.17,83.67,45.84,71.17
2.krs Desk 3,0,45.67,71.33,64.52,9.17,0,66.54,56.83,9.66,33.83,0,0,0,0,58.59,19.17,76,58.27,90.61,40.33,0,0,0,82.67,84.98,0,38.5,25.67,78,69.83,61.83,0,0,0,54.83,0,55.17,0,0,77.67,0,82.67,0,0,18.67,50.33,0,0,84.67,0,0,67.5,71.67,81.5,0,60.17,13.83,0,0,63.83,33.33,37.33,71,59,83.83,0
desk 102,0,81.12,72.67,71.84,83.5,0,0,83.84,30.83,74.17,1,0,46.17,83.67,0,25.17,86.53,66.83,75.17,0,0,0,59.84,81.5,83,73.84,78.84,83.34,81.51,80,0,0,80.84,81.84,84.5,0,0,81.17,67.84,79.5,52,59.5,85.84,0,67.5,0,0,0,60.17,0,0,0,80.5,84,85.17,0,0,79.34,53.83,74.84,0,0,80.67,61.83,67.5,0
Desk 59,78.33,82.66,18.83,7.33,62.17,60.5,81.16,38.67,59.83,81,44.5,0.33,55.67,18.5,83.33,0.5,26.16,41.17,13.66,0,0,0,44,5.17,46.5,9.17,65.66,0.33,7.17,31.5,3.17,0,0,0,28,39.83,41.33,25.67,0,57.83,19,83.5,50.5,0,36.5,6.07,43.25,0,59.83,0,0,0,0,20.33,58.83,0,56,83.98,1,59.5,0,10.33,43.17,58.52,37.67,0
DEsk 34,0,0,0,23.67,0,0,0,0,0,1.33,0,78.75,61.83,4.67,0,0,5.67,80.45,79,0,0,0,0.83,0,11.5,0,0,33.35,25.33,35,0,0,0,68.06,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.33,60.17,0,0,83.39,0,0,0,0,0,74,44.33,0
Desk 66,65.67,87.84,98.5,100,78,77.17,75.84,91.34,93.24,79,85.67,79.34,95.03,92.36,92.35,78.67,66.34,81.67,79.5,75.84,0,0,33,87.27,68.6,78,66.24,88.4,56.83,88.55,79.34,60,86.02,79.34,86.84,80.34,77.5,87.48,85.17,62.33,0,70,65.34,0,44.34,82.17,87.73,80.67,50.84,0,57.33,72.17,41,87.5,77.84,49,79.84,74.67,81.17,57.95,21.16,78,81.67,58.41,55.17,71.5
DEsk 28,0,56.91,78.67,77,52.43,78.5,80.33,83.67,81.33,18.33,59,0,0,87.67,49.5,88.33,80.32,60.83,40,85,0,0,54.68,0.33,22.83,58.17,0,44.7,74.5,48.71,35.17,0,62.72,85.73,82.23,89,82.41,0,0,22.17,0,80.33,0,0,40.61,0,0,0,0,0,0,0,41.17,30.33,0,0,0,33.5,0,0.33,0,17.67,0,77.19,0,15.7
Desk 51,79.33,0,81,82.83,60.66,76.66,41.83,82,44.5,75.5,56.17,82.17,16.83,81.83,77,0,21.83,83.33,77.16,81.5,0,0,0,0,0,71.33,0,43.17,34.17,67.29,17.67,84.17,75,72.98,70.67,0,80.67,28.5,56.5,84,86.66,77,66.17,0,78.17,78.5,83.17,86.83,19.17,0,0,9.67,79.67,66.83,78.5,75.5,0,88.59,76.83,76.5,71.66,77.5,75,56.33,74.33,0
Desk 15,0,12.5,0,76.23,75.06,10.83,8.67,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,70.67,0,71.44,83.34,0,81.92,76.08,69.72,66.84,27.53,55.84,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34,0,0,0,30.84,77,60,66.16,16.5
desk 81,0,0,0,80,0,11.17,0,0,82,34.67,77.83,0,0,79.83,73.66,76.5,0,0,79.83,0.67,0,0,77.16,78,0,0,80.5,0,57.83,0,46.33,0,0,83.5,0,80.5,0,0,42.5,83.5,0,0,70.83,0,51.5,0,0,48.33,0,0,0,0,75.67,72.83,1.5,0,81.33,0,0,80.33,0,0,0,52.83,0,0
Desk 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.67,0,0,0,0,0,27.33,0,0,0,0,40.67,0,0,0,0,0,0,0,0,0,0,0,0
Desk 90,74.67,0,0,0,0,69,0,43.5,72.67,60.64,0,41,47.84,60.34,0,59.67,0.33,71.5,44.5,0,0,0,25.34,68,0,42.83,0.83,0,41,0,0,0,0,78,63.34,0,0,0,72.34,0.83,0,0,0,0,45.86,0,0,41.67,0,0,0,0,16,81.17,69.41,0,0,78.84,31,84.34,0,0,0,48.17,0,0
desk 146,58.03,0,0,56.23,46.07,0,0,0,89.11,0,52.95,58,30.17,0,0,39.33,53.35,46,0,0,0,0,0,0,0,0,0,54.84,51.96,56.17,56.97,45.32,73.34,58.34,51,38.67,0,0,0,37.22,50.89,0,0,0,0,0,0,1.79,51.97,0,57.67,53.34,45.68,66.17,47.85,50.84,0,0,0,70.73,62.33,0,59.27,66.77,60.61,0
desk 141,0,79.84,79.67,78.84,58.33,21.67,0,0,78.51,78.34,59.17,80.34,79,78.84,78.67,0,83.19,0,0,0,0,0,55.84,79.83,78,0,78.84,83.17,0,79.17,79.68,0,0,78.89,81.4,0,0,80.45,80.5,0,82.83,80,0,0,62.81,31.63,79.34,87.41,81.59,0,0,78.46,81.47,86.17,0,0,79,79.67,0,89.34,82.83,0,78.84,81.5,80.95,0
desk 155,0,81.67,85,53.32,44.67,80.83,0,81,81.66,56.49,0,82.67,92.33,55.41,0,32,65.67,49.33,73.5,69.33,0,0,83.33,58.49,12.83,29.16,0,0,90.38,73.5,0,70.33,78,76.5,79.5,0,0,72.83,85.5,81.16,70.33,81.67,75.99,0,75.67,0,78,82,49.5,0,0,78.83,76.5,81.77,80.5,80.67,83.5,84.48,49.81,41.33,84.16,73.18,85.52,77.83,44.16,58
desk 158,0,84.67,87.34,86.74,81.5,75.17,87.5,89.52,86.5,58.5,80.67,88.47,83.5,88.79,81.01,34,3,4.17,83.56,77.67,0,0,0,82.5,81.5,0,82.67,70.28,80.84,77.67,77.17,77.84,79.34,79.17,81,72.84,0,1.5,0,0,0,82.84,87.61,0,79.84,65.84,84.17,87.51,83.34,0,0,87.17,89.34,90.48,82.84,72.34,87.61,82.67,51.5,79.34,64.84,88.38,82.5,0,39.17,49.33
2.krs Desk 4,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,80.67,0,0,0,0,0,0,0,0,0,79.5,0,0,0,0,0,0,0,0,87.84,78.34,0,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.67,30.38,0,0,0,0
desk 113,76.67,77.73,52.83,59.17,52.01,40.5,28.33,54.67,46.83,82.5,80.67,79.84,53,57.67,84.17,0,83.5,81.17,21,0,0,0,51.34,17.33,84.34,77,54.67,86.84,80.17,79.84,0,0,79.5,80.5,80.34,0,0,74.5,83.67,92.08,74.33,0,70.84,0,34.83,71.34,11.5,65.5,78.84,0,0,0,81.84,0,0,0,23.92,27.58,75.84,0,0,0,79.34,0,59.67,75.84
desk 106,0,0,73.83,76,0,0,0,76.67,43.17,34.66,4.5,0,42.17,3.34,75.5,0,86.17,79.83,0,0,0,0,91.33,80.73,27.17,79.93,7.5,59.67,47.27,0,0,60.33,67.67,37.5,0,0,0,50.33,73.17,80.83,0,0,59.47,0,87.29,0,78.33,38.5,60.33,0,0,0,82.17,0,81.17,0,0,0,63.5,0,0,70,74.5,9.5,0,0
Desk 60,46.33,80.17,50,86.04,0,0,54.5,82.89,86.22,79.5,74.83,80,57.67,43.24,77.17,80.5,81.33,0,79.5,72.67,0,0,81.66,79.66,0,48.5,84.83,60.17,82.5,17.33,59.83,83,76.83,0,78.83,67.99,58.33,55.33,62,0,40,81.83,82.67,0,0,17.36,86.5,58.67,76.5,0,0,36,83.33,79.72,25.5,80.67,79,61.9,25.5,49.5,0,0,73.17,79.66,75.5,71.5
DEsk 33,0,80.5,80,80.33,0,0,80.33,80.67,81.5,2.33,0,80,82.67,86.83,0,0,79.67,84,0,0,0,0,80.5,84.84,83.33,13.67,80.5,82,0,80.33,0,20.5,80.67,80.83,0,0,80.17,80.17,80.17,0,0,80.5,82.67,0,0,0,82.5,83.67,0,0,0,82.33,80.33,84,0,0,83.83,81.67,41.17,84.67,0,81.5,89,82,0,0
Desk 68,10.53,54.17,0,47.17,53.17,0,51.5,0,79.33,0,72.33,51.5,0,0,72.83,0.33,83.83,48.5,1.17,0,0,0,0,5.5,78.16,41.17,82.83,50,78.66,61.83,60.67,83.5,49.33,36.5,0,0.83,67,82.33,74.66,66,57.66,59.33,47.33,0,0,0.33,82.83,20,0,0,0,80.66,49.66,26.83,71.93,0,0,77.46,74.13,65.5,0,79.17,50.17,9.67,0,0
DEsk 27,0,69.67,82.5,56.5,83.33,0,83.67,83.5,47.17,82,0,77,0,79.67,82.17,0,0,0,22.5,80.17,0,0,81.83,33.5,0,0,78.33,84.08,0,80.5,0,0,80.33,52.17,53.5,0,80.17,6,0.67,50.17,0,81,0,0,51.5,0,80.33,58,62.67,0,0,0,51.5,79.33,65,0,18,2.33,13.33,68,0,80,79.67,0,81.83,0
Desk 50,71.33,81,82.5,85.67,81.72,81.05,60.38,79.21,82.54,81.2,81.86,100,87.98,82.17,80.33,80.83,82.33,78.83,82.16,81.16,0,0,1.83,79.14,80.63,81.8,77.96,87.62,87.12,79.78,82.28,81.6,71.67,84.43,80.67,59.76,33,0,14.83,66.57,88.57,62,71.45,0,50.17,73.67,92.7,77.2,64.17,0,0.83,83.99,81.5,83.83,59,75.5,78.5,77.83,81.33,78.98,71.5,79,86.33,79.16,83.29,0
Desk 16,0,29.04,49.34,79.34,81.19,0,60.5,78,81.67,67.5,0,0,0,0,0,0,0,0,0,0,0,0,86.86,84.34,88.34,46.84,69.32,78.98,50.5,79.46,0.33,79.61,72.5,79.43,0,0,56.89,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,0,51.17,0,0,31.5,38.17,69.82,67.14,16.83
Desk 84.1,0,86.17,90.13,57,91.45,75.84,87.76,61.59,50.75,0,76.34,84,83.01,84.84,51.86,55.53,81.34,85,77,62.34,0,0,89.28,91,76,90.43,86.67,80.5,87.84,84.34,84.06,76.5,75.84,76.67,86.5,77.84,85.5,78.17,81.84,84.33,84,77,64.67,0,56.51,82,82.17,62.17,82.51,0,0,0,88.85,79.17,63.83,79.34,91.03,64.5,78.34,83.51,78.67,78.84,57.67,87.08,89.58,0
Desk 17,0,0,78.67,81.33,81.34,0,0,0,83.5,82.67,0,0,82.83,81.67,0,0,0,0,0,0,0,0,0,0,0,0,75.67,83.67,82,54.33,0,76.5,78.83,80.33,0,0,0,60.33,82.17,0,0,24.5,0,0,0,0,0,0,0,0,0,83.5,0,44.17,43.17,0,0,0,0,0,0,96,0,61.5,63.67,0
Desk 89,0,35.17,77.17,0.33,0,0.67,0,4.67,0,0,0,66.34,71.5,55.67,0,61.5,0,51.34,0,0,0,0,0,8.16,38,0.67,0,47.83,42.34,72.67,0,33.89,76.55,11.17,0,9,0,0,22.67,57.81,14,55.93,60.76,0,34.08,28.23,7.04,62.04,65.34,0,0,43.31,81.47,0.33,24.29,0,35.75,86.08,1.33,52.73,66.67,60.86,48.35,25.84,20.34,0
desk 148,64.02,69.54,72.37,19.67,46.38,63.67,0,74.58,72.33,80.25,40.76,46.1,78.94,72.17,79.12,49.79,0,0,72.5,0,0,0,81.66,79.66,64.67,79.19,0,80.38,75.17,78.89,80.39,74.57,79.41,69.67,57.42,85.83,79.27,1.83,75.67,79.96,63.33,74.64,65.67,0,78.66,42.49,42.84,74.35,47.33,0,71.03,53.54,79.55,75.39,74.06,56.67,55.41,77.91,70.5,55.76,0,0.5,65.33,80.45,70.5,67.16
desk 132,0,0,0,0,0,59,0,30.83,68.5,0,0,5.5,0,0,0,79.5,0,80.5,0,0,0,0,49.34,0,0,71.17,0,43.67,0,0,0,0,14.17,4,29.17,79.5,0,79.84,0,0,55,34.94,82.34,0,0.67,0,48.84,32.67,70.34,0,72.84,82,73.67,79.67,78.17,81.34,67,60.34,84.23,78.17,82,88.5,85.17,74,66.67,70.84
desk 154,0,0,0,82.93,83.26,33.17,77.01,75.34,48.29,13.67,39,66.17,0,93.5,87.17,1.17,85,83,87.67,30.33,0,0,0,75,73.5,0,0,0,74.84,88.33,0,0,0,81.67,72.5,0,0,0,90.07,55.67,0,35.67,0,0,0,6,83.14,82.64,81.63,0,0,0,61.34,89.84,86,0.5,36.17,67.67,39.84,78,0,79.84,78.84,81.5,29.5,83.5
2.krs Desk 9,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,78.67,84.5,0.33,87.34,0,89.02,84.36,0,83.72,88.23,85.07,0.33,0,85.93,90.94,80.28,0,0,87.31,0,0,88.5,0,0,0,0.33,0,0,88.4,0,83.91,85.25,0,87.28,0,0,84.47,0,86.16,0,88.34,85.18,0
desk 119,32.17,56.33,3.83,55,90.15,0,84.83,62.66,6.5,0,0,67.5,30.33,32,19.83,62.69,75.84,68.67,45.2,0,0,0,15.5,34,29.33,0,5.67,61.17,87.5,22.83,0,10.83,57.5,22.59,90.76,0,0,80.61,50.17,5.33,90,11.5,67.21,0,85.96,0,82.17,63.86,49.64,0,47,10.17,58.83,40,53.67,0,69.33,78.33,32.33,71.83,44.67,48.83,91.03,42,52,1.5
desk 114 ,0,85.81,90.63,69.34,85.34,77.67,41.5,67.84,52.07,81.34,36.17,15.33,73.34,90.53,59.84,0,47.17,82.17,71.17,75.34,0,0,57.34,58.17,80.67,82.34,54.84,81.01,75.17,56.69,0,81.84,71.34,18,80.34,0,0,19.56,73.67,79.34,79,72.5,90.61,0,87.17,0,0,76.34,87.34,0,0,26.46,80,84.17,84.01,0,0,76.67,0,67.17,0,62.67,73.67,86.67,59.17,0
desk 105,0,0,70,62.33,0,0,0,0,63.83,0,0,0,79.17,79.25,80.42,0,0,80.33,0,0,0,0,88.17,80,29.33,0,71.67,83.67,31.17,71.5,0,0,62.5,0,0,0,0,79.33,73,69,0,0,70.17,0,38.89,0,2.33,8.33,71.83,0,0,0,11,0,0.83,0,0,69.67,40,0,0,0,72.17,0,0,0
Desk 61,1.17,2.17,81.67,76.17,2.83,36,28.67,82.33,41,77.5,80.83,23.83,53.32,51.5,35.83,80.67,79.83,0,82.83,0,0,0,25.17,84.87,81,30.83,76.33,19.33,55.5,0,79,80.83,77.5,78.5,86.83,19.83,20.61,0,0,83.33,58.5,80.33,43.67,0,40,77.17,81.67,85.33,79.5,0,0,82.33,39.67,83.67,58.5,79,84.33,55.83,72.5,1.17,0,79.33,79.83,79.83,80.83,80.66
DEsk 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,53.83,0,0,0,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0
Desk 65,0,0,0,0.33,28.33,0,0.83,88.58,83.25,61.5,0.83,82,81.95,81,69.5,0,0,66.5,0,0,0,0,81.99,80.66,85.88,69.83,7.67,0.67,4.67,18.33,65.17,0,79.5,67.17,81,0,0.5,0,73.33,81.99,79.49,77.16,18,0,83.53,53.83,81,82.23,0,0,0,81.5,0,52,71.17,0,80.5,64.5,83.83,69.67,75.66,0,81.33,36,78.16,0
DEsk 14,0,0,62.89,86.23,61,57.24,0,0,0.33,0,0,0,53.33,41.5,51.17,0,0,0,0,0,0,0,0,9.17,0,88.48,80.82,78.83,84,76.83,0,81.5,83.5,83,86.18,0,74.5,81.84,28.83,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,57,0.5,0,22.67,0,0,0,64,0,0,0,0
Desk 57,47.34,0,82.84,0,78.5,0,89.24,89.56,34.5,45.17,63.84,0,74.84,25.5,75,0,0,42.5,67.5,71,0,0,1.67,78.57,0,20.84,81.84,88.87,87.51,0,0,0,53.67,0,0,0,0,77.84,0,80.67,0,81,78.01,0,82.13,0,88,46.34,82.67,0,68.84,49.17,80.84,79.67,50.83,0,85.84,88.17,87.34,83.84,82.34,82.5,79.67,79.17,79.83,0
Desk 23,0,0,0,0,0,0,0,0,0,0,0,0,83.67,83,0,0,0,32.33,77.83,0,0,0,80.67,82,0,0,0,81.67,82.83,81.67,0,0,83,77.33,83,0,0,0,0,0,0,84.33,0,0,84.17,0,0,82,82.5,0,0,0,81.17,0,12.67,0,0,83.83,82.67,80.67,0,0,85.33,81.5,82.67,0
Desk 84.2,79.32,0.33,0.67,0.83,85.94,86.27,75.5,80.24,0,71.84,91.22,88.69,88.52,83.01,71.83,89.84,86.34,84.47,84.46,90.17,0,0,77.74,91.91,92.23,51.06,78.34,62.36,93.01,93.35,81.34,73.32,0,95.64,93.17,84.17,0,79.76,93.91,93.41,64.07,74.21,94.71,0,93.36,82.34,66.84,77,0,0,0,0,8,25.67,83.75,92.41,69.56,86.38,71.5,4.5,0.67,82.84,44.83,79.82,92.81,77.8
Desk 20,0,0,75.1,53.26,49.92,0,0,76.39,75.21,85.71,0,0,0.5,82.83,0,0,0,71.13,47.45,0,0,0,0,0,0,0,0,37.7,37.69,67.68,0,0,75.65,41.48,84.64,0,0,0,42.33,51.09,0,0,66.89,0,0,0,0,75.51,80.5,0,0,0,74.96,75.79,54.45,0,0,76.08,75.24,70.4,0,0,75.7,65.53,0,0
DEsk 92,0,0,0,14.67,0,0,42,75,31.5,26.83,0,0,29.5,0,0,0,0,0,0,0,0,0,1.5,59.5,9.33,0,0,0,0,0,0,0,0,0,0,0,68.5,3.83,1.33,34.33,22.83,0,0,0,3.33,0,0,77.5,0,0,0,0,65,1,72.13,0,75.84,2.67,0,60.84,0,0,80.84,68.33,1.67,0
desk 149,0,0,0,61.5,45.46,83,35.33,77.99,0,72.66,86.83,0,75,55,0,25.33,0,0,0,0,0,0,0,0.33,0,2.83,0,55,0,0,51.17,77.83,76.49,61.5,46,77.68,0.33,0,0,74,0,0,73.17,0,77.24,42.74,42.83,70.67,0,0,0,0,0,0.67,25,0,10.5,78.33,2.33,10.33,0,65,70.67,0.67,77,58.83
desk 133,0,0,0,0,0,74.34,0,0,56,85.84,78.17,0,0,0,0,73.5,57.34,0,81.17,0,0,0,0,0,0,76.84,50.67,0,0,0,75.67,52,0,0,0,0,0,0,0,0,68.17,0,0,0,78.84,21.5,41.01,77.84,82.67,0,71.5,81.17,80.34,77.67,77,78.01,60.67,83.67,82.84,51,79.34,78.34,80.67,78.67,78.17,78.83
2.krs Desk 6,0,0.5,0.33,0,0,0,81.56,79.67,0.67,0,0,0,0,0,0,0,1,0,72.31,0,0,0,0,82.6,0,0,82.08,50.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,56.34,64.34,0,0,76.51,0,0,32,0,77.84,35.34,0,0,0
desk 120,0,54,41.68,15,22,41.67,12.83,63.87,16,25.33,0,0,14.67,8.83,11.83,0,84.67,74.75,88.09,0,0,0,0,50.17,31,3.5,0,74.5,53.83,0,0,36.32,67.67,16,62.67,0,0,80.68,0,14.66,80.83,67.67,61,2.83,79.83,0,65.5,60.83,8.83,0,0,0,4.33,0,0,0,79.17,0,21,0.33,0,51.17,63.33,6.17,18.17,0.83
desk 129,81.84,80.84,6,80.69,77.84,68.34,79,73.01,0,56,50,77.17,89.17,82.34,0,0,0,80.67,81.34,0,0,0,0,73.67,64.51,0,78.67,69.34,77.34,79.51,0,0,74.67,76.34,2.5,78.67,80.17,84.51,78.5,69.51,76.5,78.51,86.34,0,0,0,0,1.5,81.08,0,0,0,75.5,73.01,37.34,0,0,59.84,0,0,0,79.67,84.77,79.45,81.63,0
DEsk 44,0,76.17,84.25,54.83,73.83,0,82.33,69.17,60.33,67.33,0,57.15,82.83,77,75.17,82.17,83.33,0,82.83,73,0,0,0,75.67,67.67,86.25,43.33,79,85,66.17,14.67,81.83,60.17,0,83.5,53.33,79.5,66.66,0,0,0,79.17,47.83,0,88.17,0,50.33,60.5,3.33,0,79.17,81.33,0,80.66,78.66,68.17,52.33,81.67,77.67,51.84,58,55.83,68.33,52.33,33,0
Desk 58,73.33,83.17,20.33,0,82,3.33,4.83,78.17,0,0,4.67,18.67,44.17,0.83,1.17,32.83,18,0,0.33,0,0,0,56.67,0.67,0,53.83,56.67,84.67,81.67,39.17,20.83,0,0.33,35,8.33,57.33,35,0.33,0,83.82,0,55.33,8.17,0,40.33,0,11.83,22.67,53.83,0,0,1,1.83,1.17,75.83,26,44.33,0,81.56,82.5,0,42.5,68.67,33.83,54.66,9
Desk 69,0,0,65.5,0,21.5,0,0,3.83,1.17,27.67,68.67,60.67,0,67.34,64.5,74.5,0,0,0,69.83,0,0,0,11,4,58.17,0,0,81.84,51.34,66.5,72.5,0,80.84,72.84,62,0,0,49.17,78.67,2.5,66.5,71.67,0,65.84,39.67,1.83,63.84,57.5,0,0,47.5,69,12.5,72,39.67,75.71,81.34,48.17,80.34,59.5,1.33,69.17,80.34,78.81,0
DEsk 13,0,77.67,49.33,47.17,77.98,0,60.62,70.67,72.77,63,6.33,0,25.17,6.5,0,0,0,0,0,0,0,0,0,0,29.67,85.44,98.75,84.67,89.91,77.34,0,88.87,82.17,81.17,88.35,0,80.17,83.17,73.47,0,15,44,0,0,0,0,0,8.17,0,0,0,0,0,0,58.17,41.67,0,0,0,0,0,81.84,59.73,94.06,69.55,63.04
Desk 54,0,0,79.84,78.17,63.81,66.34,53.17,78.67,34.17,1.67,31.83,0,76.5,47.69,77.34,0,77.31,0,52.84,0,0,0,0,85,0,0,1,79.67,42,0,0,30.17,0,73.5,0,0,0,0,41.67,27.67,42.85,0,71.5,0,80.34,7.33,48.84,66.34,20.34,0,18.51,2,80,59.67,78.34,0,17,72.5,75.5,78.67,0,68.34,86.33,88.89,88,0
Desk 24,0,0,0,64,0,0,0,0,65.67,0,0,61.83,0,0,0,0,0,0,0,0,0,0,0,61.17,0,0,0,0,64.17,0,0,0,0,61.83,0,0,0,0,0,64.67,0,0,0,0,63.17,0,0,0,40.33,0,0,0,0,64.17,0,0,0,0,65,0,0,0,0,61.67,0,0
Desk 75,56,35.34,56.17,0.33,0,0,0,0,0,0,64.18,63,68.5,0,54.17,21.5,67.34,57.34,0,0,0,0,28.83,8.5,63.17,0,79.34,0,0,0,0,54.67,40.33,9.67,0.33,0,48.17,28.17,0,0,0,62,60.34,0,62.17,34.5,61,39.67,0,0,0,82.34,13.67,17.33,14.67,76.34,32.67,4.83,0,26.83,0,38.34,24.17,14.5,6.83,0
Desk 86,0,0,0,59.83,0,51.83,16.17,69,54,37.5,50.5,45.67,37.84,0,31.33,33.5,41.67,0,44.33,56.34,0,0,43.5,4.83,11,38,32.33,0,18,27.17,56.5,0.5,0,33.67,0,73,0,0,0.33,0,18.17,0,0,0,44.5,12.5,0,80.84,0,0,0,0,0.33,56.5,79.83,0,81.17,79.34,78.17,36.5,0,79.17,81,80.83,63.33,0
desk 152,0,32.84,40.33,39.34,23.17,0,0,0,64.84,61.67,57.67,42,0,13.5,13.5,8.83,14,48.84,0,4.33,0,0,65.83,18.66,0,0,0,0,0,31,13.83,36,5.5,59.84,0,47.5,0,0,35,21,41.33,0,0,0,0,0,6.33,60.5,66,0,0,0,0,22,88.18,48.67,62,0,58.34,48.83,77,0,0,0,10,0
2.krs Desk 5,0,79.45,65.5,82.27,0,45,79.4,69.5,74,29.84,0,0,61.5,0,64.17,0,55.34,75.34,0,0,0,0,40.17,77.08,0,74.67,0,64.34,0,51.84,0,31.34,0,38.83,0,68.34,59.17,0,0,76.67,73.84,68.67,52.34,0,61.17,0,69.67,68.34,74.34,0,0,63.34,47.17,0,77.34,0,59.84,0,60.34,40.34,0,50.33,0,0,63,0
desk 118,0,79.5,79.84,46.08,85.24,0,67.01,60,32.84,81.34,0,15.33,83.01,29.98,83.67,0,0.33,29.67,0,0,0,0,0,61.5,71,0,1.67,35.84,0,24.5,39.67,51.64,79.84,56.96,59.62,0,80.17,52.33,0,32.83,0,13.67,8,0,53,0,49.34,50,32.31,0,0,80.95,61.17,0,70.17,0,78.84,67.84,26,13.84,0,84.84,42.34,73.67,18.5,39.83
